,0,1
pcm_fftMag_mfcc_sma[0]_linregerrQ,-0.03534538724835879,-0.054563268182846875
pcm_fftMag_mfcc_sma[0]_stddev,-0.0403518057715874,-0.06027128406153707
pcm_fftMag_mfcc_sma[0]_skewness,0.010129515011738572,0.02280064670140255
pcm_fftMag_mfcc_sma[0]_kurtosis,0.048192821806483294,-0.00968111488257652
pcm_fftMag_mfcc_sma[0]_quartile1,-0.01071942681789407,0.00563038985288194
pcm_fftMag_mfcc_sma[0]_quartile2,-0.026445787467507458,-0.001742129322650436
pcm_fftMag_mfcc_sma[0]_quartile3,-0.030687473826658835,-0.006057206580335086
pcm_fftMag_mfcc_sma[0]_iqr1-2,-0.04331162111457338,-0.01858965511744159
pcm_fftMag_mfcc_sma[0]_iqr2-3,-0.0278244564747434,-0.015930548434042232
pcm_fftMag_mfcc_sma[0]_iqr1-3,-0.049761786227800975,-0.023879718175918607
pcm_fftMag_mfcc_sma[0]_percentile1.0,0.005090943201480164,0.1065783634154413
pcm_fftMag_mfcc_sma[0]_percentile99.0,-0.03113515053075981,-0.006698510762111105
pcm_fftMag_mfcc_sma[0]_pctlrange0-1,-0.03474616734756796,-0.08243501506518776
pcm_fftMag_mfcc_sma[0]_upleveltime75,-0.0024816385471607308,-0.023055164576113257
pcm_fftMag_mfcc_sma[0]_upleveltime90,0.007850681659166164,-0.007115327213979361
pcm_fftMag_mfcc_sma[1]_maxPos,-0.02095152877325936,-0.0009287135815189702
pcm_fftMag_mfcc_sma[1]_minPos,-0.004825640768073205,0.0032163867429657014
pcm_fftMag_mfcc_sma[1]_amean,-0.00011250923538167958,0.013581727210961278
pcm_fftMag_mfcc_sma[1]_linregc1,0.0020945937375834215,0.008525711443339112
pcm_fftMag_mfcc_sma[1]_linregc2,-0.0012946326304512472,0.01039759313117323
pcm_fftMag_mfcc_sma[1]_linregerrA,-0.03944335279964589,-0.006722160115155959
pcm_fftMag_mfcc_sma[1]_linregerrQ,-0.03517929620005019,-0.004866862235874998
pcm_fftMag_mfcc_sma[1]_stddev,-0.04173940804208331,-0.009346338374503629
pcm_fftMag_mfcc_sma[1]_skewness,-0.01753326288004056,0.004087377523093532
pcm_fftMag_mfcc_sma[1]_kurtosis,0.03425673887632721,0.0005043243710037133
pcm_fftMag_mfcc_sma[1]_quartile1,0.018376636867998345,0.017136082738509827
pcm_fftMag_mfcc_sma[1]_quartile2,-0.0014267557301396272,0.013309383820869948
pcm_fftMag_mfcc_sma[1]_quartile3,-0.01757231274868821,0.00560162502849955
pcm_fftMag_mfcc_sma[1]_iqr1-2,-0.035827211041816985,-0.0011676352768300489
pcm_fftMag_mfcc_sma[1]_iqr2-3,-0.022944012735634265,-0.012528743538144971
pcm_fftMag_mfcc_sma[1]_iqr1-3,-0.0364408226076961,-0.01008509008401788
pcm_fftMag_mfcc_sma[1]_percentile1.0,0.04213454866234472,0.018172767110988905
pcm_fftMag_mfcc_sma[1]_percentile99.0,-0.03838054006607398,0.006768895404563975
pcm_fftMag_mfcc_sma[1]_pctlrange0-1,-0.04372316312752017,-0.007568416506777508
pcm_fftMag_mfcc_sma[1]_upleveltime75,0.01792476813616665,-0.01074367488461678
pcm_fftMag_mfcc_sma[1]_upleveltime90,0.02643227103031815,-0.009464869771677821
pcm_fftMag_mfcc_sma[2]_maxPos,-0.00197548874147867,0.00015974434202822865
pcm_fftMag_mfcc_sma[2]_minPos,-0.01402957305988308,-0.007370523384450736
pcm_fftMag_mfcc_sma[2]_amean,0.004914105009558289,0.004753753836907739
pcm_fftMag_mfcc_sma[2]_linregc1,-0.00010042748636559303,0.0067446130341635826
pcm_fftMag_mfcc_sma[2]_linregc2,0.0074378056046407945,-0.00556969683899133
pcm_fftMag_mfcc_sma[2]_linregerrA,-0.04298383636701388,0.004638148692096302
pcm_fftMag_mfcc_sma[2]_linregerrQ,-0.04242067228967567,0.007606993187804878
pcm_fftMag_mfcc_sma[2]_stddev,-0.04446442263198074,0.004966772005785114
pcm_fftMag_mfcc_sma[2]_skewness,0.021798498817070414,-0.006439570721176136
pcm_fftMag_mfcc_sma[2]_kurtosis,0.030992369614827424,-0.0039730209808855575
pcm_fftMag_mfcc_sma[2]_quartile1,0.02253760861799458,0.004661980563353752
pcm_fftMag_mfcc_sma[2]_quartile2,0.0021188473936175974,0.004444054375441621
pcm_fftMag_mfcc_sma[2]_quartile3,-0.01191058393400567,0.005389548412366062
pcm_fftMag_mfcc_sma[2]_iqr1-2,-0.03541145322285078,-0.0006531210983675601
pcm_fftMag_mfcc_sma[2]_iqr2-3,-0.03660372919812136,0.0028543449391940424
pcm_fftMag_mfcc_sma[2]_iqr1-3,-0.04453329118020589,0.000945873896381873
pcm_fftMag_mfcc_sma[2]_percentile1.0,0.032283525734876806,-0.005150420534964199
pcm_fftMag_mfcc_sma[2]_percentile99.0,-0.031686054822478715,0.006271772702623587
pcm_fftMag_mfcc_sma[2]_pctlrange0-1,-0.04272745098500383,0.007546936047515217
pcm_fftMag_mfcc_sma[2]_upleveltime75,-0.01813330121406166,0.003764744570532135
pcm_fftMag_mfcc_sma[2]_upleveltime90,-0.0022330159483470824,0.0016527030460544722
pcm_fftMag_mfcc_sma[3]_maxPos,-0.01624721382613375,0.03083888652808745
pcm_fftMag_mfcc_sma[3]_minPos,0.023805252490217026,-0.010726716599540009
pcm_fftMag_mfcc_sma[3]_amean,0.0049111707911692155,-0.02912683675947349
pcm_fftMag_mfcc_sma[3]_linregc1,-0.012763836801653071,0.00048738466473048067
pcm_fftMag_mfcc_sma[3]_linregc2,0.007861641070079434,-0.035707100278866984
pcm_fftMag_mfcc_sma[3]_linregerrA,-0.04099719339194972,0.0016244547223365417
pcm_fftMag_mfcc_sma[3]_linregerrQ,-0.042705826389173626,0.0018414330435081452
pcm_fftMag_mfcc_sma[3]_stddev,-0.044674545500321836,-0.00018966951204062252
